Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location
2021,730,110401,110401,334-342 City Road SOUTHBANK VIC 3006,Southbank,Urban Central Accommodation,Pt Ground & Levels 1-5 334-342 City Road SOUTHBANK VIC 3006,290,144.957353893,-37.82783816,"-37.82783816, 144.957353893"
2021,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Jackpot Bar,"Shop 72, Ground 8 Whiteman Street SOUTHBANK VIC 3006",80,144.958659766,-37.8231216,"-37.8231216, 144.958659766"
2021,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Lumia Bar,"Shop 73, Ground 8 Whiteman Street SOUTHBANK VIC 3006",140,144.958659766,-37.8231216,"-37.8231216, 144.958659766"
2021,804,110537,110537,1-27 South Wharf Promenade SOUTH WHARF VIC 3006,Southbank,The Boatbuilders Yard,Part 23 South Wharf Promenade SOUTH WHARF VIC 3006,1438,144.953499536,-37.82437522,"-37.82437522, 144.953499536"
2021,804,110988,110988,29-65 South Wharf Promenade SOUTH WHARF VIC 3006,Southbank,The General Assembly,29 South Wharf Promenade SOUTH WHARF VIC 3006,610,144.950333624,-37.82409303,"-37.82409303, 144.950333624"
2021,804,110988,110988,29-65 South Wharf Promenade SOUTH WHARF VIC 3006,Southbank,Plus 5,37 South Wharf Promenade SOUTH WHARF VIC 3006,90,144.950333624,-37.82409303,"-37.82409303, 144.950333624"
2021,807,108054,108054,1-25 Whiteman Street SOUTHBANK VIC 3006,Southbank,Mesh,Part Ground 1-25 Whiteman Street SOUTHBANK VIC 3006,300,144.959776722,-37.82385364,"-37.82385364, 144.959776722"
2021,1104,576024,576023,Site One 747-757 Bourke Street DOCKLANDS VIC 3008,Docklands,The Nixon Hotel,749 Bourke Street DOCKLANDS VIC 3008,320,144.947975346,-37.81925128,"-37.81925128, 144.947975346"
2021,1110,620312,593737,NW Building 23-37 Star Crescent DOCKLANDS VIC 3008,Docklands,Urban Alley Brewery,Shop G09 12 Star Circus DOCKLANDS VIC 3008,700,144.93785733,-37.81317061,"-37.81317061, 144.93785733"
2021,2530,616160,616160,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,Kensington,The Quiet Man Irish Pub,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,400,144.932355877,-37.78860982,"-37.78860982, 144.932355877"
2022,4,104034,104034,Flinders Street Railway Station 207-361 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Arbory Bar and Eatery,2 Flinders Walk MELBOURNE VIC 3000,500,144.965469636,-37.81866338,"-37.81866338, 144.965469636"
2022,6,110655,110655,Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,Melbourne (CBD),Riverland Bar,"Vault 1-12 & 13A-13B, 1-13B Princes Walk MELBOURNE VIC 3000",300,144.96893493,-37.8186592,"-37.8186592, 144.96893493"
2022,6,578321,573333,Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Icebar Melbourne,"Tenancy 15, Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000",166,144.969917344,-37.81784448,"-37.81784448, 144.969917344"
2022,6,578324,573333,"Tenancy 29, Transport Federation Square 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Transit Rooftop Bar,"Tenancy 29, Level 2 2 Swanston Street MELBOURNE VIC 3000",200,144.969917344,-37.81784448,"-37.81784448, 144.969917344"
2022,11,105294,105294,27-31 King Street MELBOURNE VIC 3000,Melbourne (CBD),State Of Grace,"Basement , Ground & Rooftop 27 King Street MELBOURNE VIC 3000",245,144.956948523,-37.81975559,"-37.81975559, 144.956948523"
2022,12,103994,103994,502-504 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Insignia On Flinders,502-504 Flinders Street MELBOURNE VIC 3000,200,144.957657059,-37.82005619,"-37.82005619, 144.957657059"
2022,14,101099,101099,16-26 Bond Street MELBOURNE VIC 3000,Melbourne (CBD),Bond Bar,Ground 20-24 Bond Street MELBOURNE VIC 3000,500,144.963057478,-37.81814578,"-37.81814578, 144.963057478"
2022,14,103946,103946,313-315 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Miranda Tequila Bar,"Unit 1, Basement 313-315 Flinders Lane MELBOURNE VIC 3000",100,144.96385074,-37.81763918,"-37.81763918, 144.96385074"
2022,14,103950,103950,335-339 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Bartronica,Basement 335 Flinders Lane MELBOURNE VIC 3000,200,144.963225812,-37.81784765,"-37.81784765, 144.963225812"
2022,15,109257,109257,Young And Jacksons Hotel 1-7 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Young & Jacksons,Young And Jacksons Hotel 1-7 Swanston Street MELBOURNE VIC 3000,470,144.967022998,-37.817356,"-37.817356, 144.967022998"
